Week,DBJP,DFJ,DIM,DLS,DOL,DOO,DTH,DVYA,DWM,DXJ,ENZL,EPP,EWA,EWH,EWJ,EWS,EWT,EWV,EWY,EZJ,FAUS,FDT,FDTS,FHK,FJP,FKO,FPA,GWX,IDHQ,JPXN,PDN,PXF,SCJ,VPL
2014-22,0.00758882,0.00566156,0.00814513,0.00852575,0.00748239,0.01000715,0.01161928,-0.00087355,0.00899205,0.00772798,0.00619835,0.0,0.00047985,-0.00825991,0.00768362,0.00510638,0.00667408,-0.01812596,0.01117318,0.01816805,0.01262433,0.01168991,0.00702165,0.00297,0.0114969,-0.00236593,0.00951294,0.01045422,0.00587293,0.00989673,0.00884275,0.00863821,0.00526209,0.00501114
2014-21,0.00530598,0.00857449,0.00975793,0.00970874,-0.00110302,-0.00333572,0.00098888,0.00705623,0.00294118,0.00605741,0.00087873,0.0009933,-0.00143678,0.00893855,0.00876788,0.00985855,-0.00259933,-0.01591277,0.00322855,0.01575423,0.0,0.00707155,0.01218787,0.00567503,0.0108593,-0.00626959,0.00959325,0.00656216,0.00973499,0.01188119,0.007393,0.00537497,0.01098218,0.00659506
2014-20,0.02526547,0.01915034,0.00874026,0.00989011,0.00244716,0.00047847,0.0,-0.00400445,0.00360475,0.02607279,-0.01495542,0.00475714,0.00241429,0.01187111,0.01968224,-0.00212947,0.01212121,-0.042972,-0.00268456,0.03478261,-0.00076453,0.01751388,0.01960184,0.03960087,0.02711285,-0.00117417,0.01117534,0.01002227,0.00108814,0.02441782,0.01187648,0.00725389,0.01877133,0.01205742
2014-19,-0.00618407,-0.00241281,-0.01089816,-0.0147482,0.00377862,0.00239923,-0.00395746,0.01316964,-0.0021097,-0.00324237,0.00344828,0.0059955,0.00382775,0.0137457,0.0,0.00645439,0.00762777,-0.00111157,0.02414209,-0.00083299,0.0,-0.01512923,-0.01893029,0.0,0.00073547,0.018334,0.01668607,-0.01495259,-0.00652884,0.00225581,-0.00823852,-0.00566281,0.00106428,0.00633154
2014-18,-0.00725689,-0.00848195,-0.00169747,-0.00808625,0.00381337,0.00314618,0.00425,0.00022381,0.00191734,-0.00325027,-0.02186879,0.00404142,0.00871249,-0.00986651,-0.00260849,0.00216076,-0.0019084,0.00780162,0.00104987,-0.00663075,0.0,-0.00463646,-0.0171041,-0.02759248,-0.01047758,0.0,0.00590784,-0.00909422,-0.00108578,-0.00427543,-0.00742768,0.0002594,-0.00801012,-0.00077012
2014-17,0.00765864,0.00633603,0.00818892,0.00360685,0.00813743,0.01008362,0.01163085,-0.00178372,0.00752041,0.00270636,0.03605981,-0.00751127,-0.01528176,0.00576369,0.01075783,0.01137856,0.00613027,-0.02010944,-0.0024386,0.03686441,-0.00867597,0.00398657,0.00295946,0.0,0.0132776,0.00280112,0.00511408,0.00843418,0.00824176,0.0033929,0.00828402,0.01230044,0.00571913,0.00211905
2014-16,-0.01519537,-0.00285463,-0.00229446,-0.00251527,-0.00544341,-0.00418204,-0.00329615,0.0,-0.00623388,-0.01287899,0.00879507,-0.00750939,0.00096339,-0.02585722,-0.01445155,-0.00915432,-0.02548498,0.02566237,-0.02297668,-0.02241594,0.00075386,-0.00604671,0.0074184,-0.00059014,-0.00948444,0.0,-0.01600312,0.0,0.00054915,-0.01185682,-0.00039494,-0.00574563,-0.00486979,-0.01054448
2014-15,0.02638424,0.02128613,0.01223063,0.01734526,0.01124369,0.01347978,0.01519835,0.00862265,0.01065913,0.02560573,-0.00292398,0.00401707,0.00776699,-0.01108033,0.02104499,0.01721854,0.01493109,-0.04088427,0.00241213,0.04233261,-0.00487988,0.01569459,0.0153522,-0.00235502,0.01873595,-0.03049257,0.0066719,0.01637514,0.01675042,0.02006842,0.01854091,0.01005557,0.02098205,0.01086746
2014-14,-0.05218013,-0.03652668,-0.01093211,-0.01149838,-0.00367901,-0.00647572,0.0,0.03405355,-0.00369485,-0.04759373,0.01447135,0.01922584,0.0152484,0.03530093,-0.03912326,0.01481814,0.0124031,0.08403361,0.02023223,-0.07858306,0.02461538,-0.0252379,-0.02066726,0.02165414,-0.03275904,0.02715849,0.01874003,-0.01101322,-0.00222841,-0.04017758,-0.02052092,-0.00975224,-0.03521721,-0.01236476
2014-13,0.00106232,-0.00433369,0.00287411,0.00179211,-0.00114784,-0.00619118,-0.00025707,0.0,0.0,0.00211528,-0.01844912,0.00748774,0.00098474,0.03448276,0.00187047,0.00720721,0.01055512,-0.02574202,0.0131696,0.00401768,0.0,0.00475796,0.03515152,0.02358633,0.00436999,0.00325336,0.00479042,0.00182749,-0.00442723,0.0,0.00314095,0.00712965,-0.00335008,0.00598571
2014-12,0.03921569,0.03326635,0.01879773,0.01892687,0.0229206,0.02268672,0.02215774,0.02501804,0.02570407,0.04042082,0.01881799,0.02584599,0.0259542,0.0212766,0.03735144,0.03700234,0.02580645,-0.05390979,0.03445721,0.07034959,0.00775194,0.02026451,-0.01197605,0.01552795,0.02761044,0.01990875,0.02108309,0.01982791,0.02728823,0.02474461,0.01686747,0.01868906,0.03310404,0.0309443
