Week,CEW,CNY,CROC,CYB,DBV,DRR,EUFX,EUO,FXA,FXB,FXC,FXCH,FXE,FXF,FXS,FXY,INR,UDN,ULE,URR,UUP,YCL,YCS
2018-17,-0.00890052,-0.01447424,-0.00490898,-0.00705009,0.00840689,0.0520362,0.0090045,0.02078413,0.0006715,-0.01698212,-0.00157336,-0.01335902,-0.00991038,-0.01012338,-0.00536243,0.00171135,-0.01459854,-0.00860118,-0.02533103,-0.04815003,0.00837872,0.00417432,-0.003376
2018-16,0.00208986,0.00195228,0.01442006,-0.00074047,0.00592217,0.00887147,0.00685453,0.01352004,-0.00305729,-0.01159527,0.00104918,0.0,-0.00664735,-0.0089574,-0.01726774,-0.00295119,-0.00288323,-0.00671441,-0.01238739,-0.00854271,0.00635055,-0.00741595,0.0069741
2018-15,-0.00412371,-0.00147617,0.00218579,0.0,-0.00084602,0.01507853,0.01025904,0.01689861,-0.01442308,-0.02234516,-0.01412248,-0.00140539,-0.00748276,-0.01592812,0.00417926,-0.00480769,-0.01450971,-0.01056338,-0.01369863,-0.05780347,0.01120207,-0.00974908,0.01041208
2018-14,0.00362319,-0.01489679,-0.01777302,0.00667904,0.00892478,0.0056866,-0.0002553,-0.00098668,0.00985675,0.00794345,0.00791694,0.00850406,0.00118193,-0.00660905,-0.00925926,-0.00690193,0.04831487,0.00132743,0.00165472,0.0327381,-0.00128645,-0.00447427,0.01421801
2018-13,-0.00615069,0.00502513,-0.00317931,-0.00147656,0.00213858,0.01085799,0.0102459,0.00443131,0.00290621,0.00271122,0.01120928,-0.00563741,-0.00194372,-0.00446519,-0.00380733,-0.00927972,-0.00568182,-0.00088613,-0.00110681,-0.02446184,0.0012848,-0.0240758,0.01879134
2018-12,0.0005123,-0.00927292,0.01092779,-0.00626613,0.01083189,-0.00233645,0.00722394,0.02522704,-0.0073193,-0.0141059,-0.00223244,0.00527331,-0.01161042,-0.01274205,-0.02224713,-0.00879991,0.01238685,-0.01182654,-0.02479784,-0.06101049,0.01300954,-0.0187017,0.01850728
2018-11,0.00051626,0.01622096,0.00128728,0.00862069,0.00172936,-0.01021277,0.00772002,-0.00297767,-0.00170559,0.00799707,0.01507069,0.00038815,0.00219132,0.00403796,-0.00972629,0.01328609,-0.00047619,0.00442087,0.0,0.06818182,-0.00429738,0.02144522,-0.024708
2018-10,-0.00308008,0.05371072,0.03362088,0.00524541,-0.00985011,0.0,-0.00715381,0.00943396,-0.02107157,0.00281273,-0.01991875,-0.00283834,-0.00429727,-0.00553487,0.00815689,0.00255074,-0.03824136,-0.00442087,-0.00930487,-0.00146341,0.00429738,0.00753532,-0.00492611
2018-09,0.0,-0.01902055,-0.02227509,0.00900901,0.01169337,-0.06615878,0.00025556,0.00645482,0.01055925,0.0,0.01299562,0.00955949,-0.00235948,-0.01158263,0.00104239,-0.00631159,0.02135231,-0.00132802,-0.00709995,-0.01299952,0.00171969,-0.01478369,0.01304935
2018-08,-0.00917431,-0.04189359,0.02441731,-0.01007463,-0.03013345,0.0687808,0.00204866,-0.00197726,-0.01109391,-0.01223557,-0.01631279,-0.0149559,0.00109723,0.00109605,-0.00929432,0.01238425,-0.0228013,-0.00132567,0.00164384,0.0,0.00172265,0.02418972,-0.02291882
2018-07,0.00051177,0.05693791,0.00939808,-0.00522973,-0.0008617,-0.03042553,0.01636789,0.00645482,-0.00591032,-0.00191247,-0.00142064,0.01035063,-0.00336899,-0.00089419,-0.01148447,0.00369169,-0.01666667,-0.00176445,-0.00872886,0.02884615,0.00258732,0.01017165,-0.01146384
2018-06,0.01081917,-0.01775148,-0.0113057,0.02347596,-0.00607112,-0.02645503,-0.01534919,-0.017769,0.00774593,0.01316866,0.00373278,0.0088929,0.00938372,0.0120602,0.01428693,0.02174405,-0.0372093,0.01018601,0.01869159,0.03379722,-0.01073422,0.04014302,-0.04213242
2018-05,-0.00823893,-0.03256705,0.02727476,-0.01226766,0.01181102,0.06900452,0.01523367,0.02458605,-0.01053985,-0.00980248,-0.00614046,-0.01177675,-0.0125744,-0.00357249,-0.02201021,0.0046697,-0.01068182,-0.00837004,-0.02273958,-0.02613746,0.01081315,0.01725855,-0.00780363
2018-04,-0.00204918,0.02688658,0.04648419,0.00525723,-0.08796895,0.1230803,-0.004111,-0.0115346,-0.0208959,0.00365631,-0.00705556,0.00904159,0.00654253,0.00736318,-0.0004985,-0.01067333,0.06084097,0.00175593,0.00808625,0.01065375,-0.00216732,-0.02111984,0.022387
2018-03,0.00975359,-0.02057977,-0.02401848,0.01174687,-0.01869159,-0.03677092,-0.01427843,-0.02508608,0.01355117,0.01155176,0.01043523,0.01334031,0.01321698,0.03041747,0.02411984,0.02058279,0.01550573,0.01242236,0.02754821,0.03357664,-0.01329331,0.04086824,-0.03934516
2018-02,0.00206186,0.0,-0.00911162,0.01185015,0.00171013,0.00914894,0.00255624,0.00838678,0.00471278,0.00499814,-0.00558801,0.01150946,-0.0038084,-0.00366151,-0.0007611,-0.00345066,-0.00392973,-0.00266312,-0.00824176,0.01581809,0.00300043,-0.00620181,0.00737032
2018-01,0.00674624,0.04185073,-0.01853486,0.0003861,-0.01142132,0.01998764,-0.00324351,-0.03748828,0.0090486,0.01244026,-0.00380711,-0.00066103,0.01847836,0.00984762,0.01300813,0.01850324,0.04629408,0.01448619,0.03812825,0.0242268,-0.01469971,0.0356829,-0.03693896
2018-00,0.00520291,0.0,-0.00663423,-0.00115696,0.00813356,-0.03010101,-0.00375094,0.00285442,0.00530813,-0.00227032,0.00740835,0.0,-0.00197935,-0.00381129,0.00343495,-0.00737101,-0.04657031,-0.00225023,-0.0039705,-0.00969883,0.00126689,-0.01183638,0.01532052
2017-52,0.00633245,0.02870127,-0.02035569,0.00546235,-0.00635863,-0.0314,-0.00769231,-0.01942646,0.00971001,0.00899792,0.00972258,0.0,0.01137258,0.01520235,0.01849741,0.00400943,0.03605313,0.00821168,0.01866978,-0.0552371,-0.00917049,0.00771794,-0.00358804
2017-51,0.00105988,-0.02767442,-0.01454162,0.00907656,0.00811272,-0.01960784,-0.00763359,-0.00961098,0.00648148,-0.00130699,0.01156677,-0.00362027,0.00607662,-0.00302967,0.01061102,-0.00633357,-0.03090149,0.00320954,0.01182033,0.02455953,-0.00414766,-0.01249349,0.01289456
2017-50,0.0016,0.0041958,-0.03165584,0.00946372,0.00814053,0.01418865,-0.0012282,0.00136737,0.01549239,-0.00077131,-0.00144528,0.0,-0.00167445,0.00115558,-0.00550328,0.00851567,0.06570591,-0.00045956,-0.00414692,-0.06384092,-0.00041391,0.013906,-0.01768277
2017-49,-0.007431,0.01120972,0.0239126,0.00276899,0.00042955,-0.03266963,0.00792275,0.01571165,-0.01135756,-0.00580507,-0.01285047,0.0082477,-0.00769971,-0.007201,-0.00441852,-0.00820729,0.04451629,-0.00865998,-0.01462844,-0.0031746,0.00792657,-0.01542461,0.01732707
2017-48,0.00106383,0.01349112,0.00020687,-0.00039432,-0.00172265,0.0,0.00647733,0.0027972,0.00080043,0.01119605,0.00521648,-0.00831322,-0.00078445,0.00477922,-0.00662252,-0.0090236,0.05187664,0.0,0.00464306,0.0,0.00041876,-0.01969034,0.01847002
2017-47,0.01239892,0.00944956,-0.01692151,0.00516488,-0.0068699,0.01503759,0.00246124,-0.03037171,0.00860099,0.00754101,0.00772251,0.00661358,0.01653112,0.01441043,0.0179428,0.00938637,-0.01518747,0.01427256,0.0358209,-0.10714286,-0.01364764,0.02545455,-0.01849866
2017-46,0.0092291,-0.00860866,0.01516096,0.00119,-0.01276596,-0.01572618,-0.00562898,-0.02107623,-0.00744978,0.0073685,-0.00312134,-0.00148248,0.01066193,0.00748235,-0.0043987,0.01348634,0.05158151,0.00924642,0.02048193,0.08415075,-0.00906096,0.02590308,-0.02584729
2017-45,-0.00432666,-0.02513258,0.00611943,0.00476758,-0.00759494,0.00990284,-0.00849308,-0.00712061,-0.00264131,0.00187368,0.00259808,-0.00389314,0.00482229,0.00158311,0.00325418,0.00225145,-0.00242718,0.0041744,0.00851582,-0.00990099,-0.00328677,0.00282287,-0.00433868
2017-44,-0.00108696,-0.00461148,0.00927879,0.00159046,0.00767591,-0.02985075,-0.0024325,0.0080609,-0.0048832,-0.01058613,0.0043222,0.00242229,-0.00453454,-0.00704447,-0.0031543,-0.00871819,0.01843765,-0.00554785,-0.00723327,-0.01620746,0.00494234,-0.01554314,0.01756487
2017-43,-0.00485699,0.0,0.03472222,-0.02538675,0.00042517,0.02982146,0.02005447,0.02590909,-0.01754614,-0.0056858,-0.01421005,-0.00522088,-0.01270289,-0.01333333,-0.02042743,-0.00330383,0.00291971,-0.01238532,-0.02550415,-0.01959746,0.0120332,-0.00861917,0.00649523
2017-42,-0.00321199,0.01305666,0.00109266,-0.0109847,-0.00972927,-0.00746855,-0.00246975,0.00412844,-0.00439674,-0.00496625,-0.00767656,-0.00080257,-0.00149398,-0.00887879,-0.00544171,-0.01191171,-0.00509709,-0.00501596,-0.00352319,0.01614639,0.00459098,-0.02360185,0.02410944
2017-41,0.01080497,-0.02091165,-0.01591398,0.01350814,0.01368691,-0.01168452,-0.00761858,-0.01139471,0.01688703,0.01087127,0.00512689,0.0094518,0.0055536,0.00486593,0.00076583,0.00609399,-0.00482044,0.00686813,0.00945068,0.0,-0.00623701,0.00379703,-0.01198169
2017-40,-0.00053908,-0.0027907,0.01640061,0.00720576,-0.00972105,-0.02760498,0.0027047,0.00182066,-0.00675149,-0.01587547,-0.00217308,0.0,0.00017657,-0.00381208,0.00880568,0.00070423,-0.00024096,-0.002746,-0.0035503,-0.03828002,0.00207987,-0.00483008,-0.00107354
2017-39,-0.0085197,-0.00578035,0.03592408,-0.00119048,-0.00421763,0.00857257,0.00620194,0.00556586,-0.01152664,-0.00503817,-0.00796762,-0.0120064,-0.00262238,-0.00163482,-0.01456965,-0.00778708,0.00024102,-0.00497738,-0.00639163,-0.01578947,0.00462379,-0.01256153,0.0162969
