Week,DGL,DGLD,DGP,DGZ,DZZ,GLD,GLL,IAU,SGOL,UBG,UGL,UGLD
2016-29,0.00820248,0.01674808,-0.01053001,0.00755858,0.01158301,-0.00543136,0.00779671,-0.00623053,-0.00532448,-0.00029197,-0.01321295,-0.01687454
2016-28,-0.01911121,0.05695429,-0.05301284,0.02229055,0.04216867,-0.01894965,0.03770762,-0.01912777,-0.01994237,-0.01721664,-0.03806891,-0.05890506
2016-27,0.00873965,-0.0228726,0.01929474,-0.00846805,-0.02012072,0.00810999,-0.01485817,0.00764526,0.00825758,0.00519181,0.01271456,0.02134986
2016-26,0.01006083,-0.03736162,0.02497399,-0.01283019,-0.02321083,0.01365646,-0.02897303,0.01328125,0.01354489,0.00582581,0.02519337,0.03879941
2016-25,0.02493343,-0.07450816,0.02449726,-0.02629657,-0.05585586,0.02264427,-0.04952098,0.02168675,0.02317802,0.01826894,0.04122991,0.06175772
2016-24,0.01138842,-0.0320526,0.01868132,-0.0130814,-0.02495544,0.01068167,-0.02375868,0.01049233,0.01119373,0.01767754,0.02139163,0.03047314
2016-23,0.02398801,-0.06966754,0.05254777,-0.02529866,-0.05149502,0.02371342,-0.04609218,0.025,0.02357208,0.02211838,0.04621534,0.0722467
2016-22,0.02174469,-0.07115717,0.04504132,-0.0239726,-0.0503937,0.02429778,-0.04453731,0.0221843,0.02365264,0.02465578,0.04828129,0.06994329
2016-21,-0.03260329,0.10248214,-0.07222866,0.0302391,0.06146179,-0.03141493,0.0668429,-0.03070539,-0.03097272,-0.04393939,-0.06450816,-0.09532062
2016-20,-0.01634944,0.05036831,-0.04772394,0.0172043,0.03270224,-0.01715928,0.03331591,-0.0195122,-0.01778958,0.00517819,-0.0349667,-0.0497553
2016-19,0.00762608,-0.02366634,0.00783582,-0.00710227,-0.01525424,0.00878574,-0.01830283,0.00903862,0.00845254,0.00184049,0.01475212,0.0251046
2016-18,0.00024096,-0.0010269,-0.00457424,0.00072569,-0.00175747,-0.00048685,0.00333556,-0.00080321,-0.00166892,0.00510817,-0.00162075,-0.0039093
2016-17,0.04545455,-0.12755194,0.08137293,-0.04447533,-0.09032258,0.04584285,-0.08807655,0.04610226,0.04459919,-0.00465405,0.09223423,0.13869258
2016-16,0.00151362,-0.00921659,0.00623782,0.0,-0.00319489,0.00127399,-0.00497271,0.00336984,0.00124958,0.01511811,0.00380228,0.00357782
