Week,EMIF,FXU,GII,IDU,IGF,INXX,JXI,PSCU,PUI,RYU,SDP,UPW,VPU,XLU
2017-14,-0.00517799,0.00114767,0.00311665,0.00254955,0.00173956,0.02332815,0.00196635,0.05476498,0.00652842,0.00491865,-0.01431065,0.01017511,0.00293311,0.00208333
2017-13,0.00424975,0.00344168,0.00581525,-0.00604822,0.00424046,0.02491961,0.00043611,0.0125514,-0.0003827,-0.00552903,0.00319375,-0.01902111,-0.00554772,-0.00744263
2017-12,0.00427491,0.00497512,0.01574264,0.01941103,0.01471708,-0.01350278,0.02183601,0.00714131,0.01708738,0.01587302,-0.03785272,0.04645006,0.01908215,0.01973961
2017-11,0.02510176,0.01075682,0.01505675,0.01124344,0.01776519,0.01384365,0.01121579,0.03657449,0.01604697,0.00992998,-0.03333333,0.03239062,0.01139956,0.00990099
2017-10,-0.00374659,-0.00877863,-0.0009223,-0.00942928,-0.00180087,-0.00666667,-0.00824788,-0.01108156,-0.01395349,-0.0091047,0.02006226,-0.01743492,-0.00998953,-0.00879581
2017-09,0.01515152,-0.0045283,0.00836043,0.00463999,0.00386598,0.00167645,0.00987876,-0.02403433,0.00662252,0.00252717,-0.00379572,-0.00356379,0.00476781,0.00440806
2017-08,-0.01055499,0.01330798,0.00023229,0.02790027,0.00259202,-0.0090834,0.01524113,-0.00172563,0.02019002,0.02428058,-0.04772877,0.08546347,0.02769381,0.02987962
2017-07,0.00034317,0.0034749,-0.00418313,-0.00025692,-0.00389408,-0.00995025,-0.00045924,-0.00695652,0.0016,0.00090968,0.0128783,-0.00488306,0.00039428,0.00086957
2017-06,0.02950587,0.0129007,0.01731088,0.01007732,0.01667549,0.0125523,0.01851852,0.01636082,0.01176948,0.00735101,-0.01479849,0.02186512,0.00969321,0.01015004
2017-05,0.01396348,0.00781861,0.01942912,0.01183588,0.01522436,0.01888412,0.00799624,0.00593146,0.01683087,0.01203863,-0.03330278,0.02734584,0.01037679,0.0095598
2017-04,-0.00107411,0.0011705,-0.00758833,0.00017524,-0.00448904,0.03584229,-0.00444133,0.00856955,0.00245801,-0.00210748,0.00122888,-0.0153196,0.00100847,0.0
2017-03,0.00218103,-0.0058072,-0.00636492,-0.00916321,-0.00394841,0.0,-0.00763359,-0.01148927,-0.00407,-0.00690914,0.02797203,-0.00786164,-0.00816083,-0.00812473
2017-02,0.00583729,0.00470404,0.01148875,0.00766385,0.00745077,0.0252809,0.00660066,0.00678931,0.0120282,0.00677111,-0.01250381,0.01050364,0.00831053,0.00670391
2017-01,0.00994109,0.00427849,0.01009373,0.00858519,0.01046137,0.02578797,0.00896226,-0.00192843,0.00781571,0.00952003,0.00061652,0.02485966,0.00775662,0.00777778
