Week,ERUS,FONE,IXP,IYZ,LTL,VOX,XTL
2014-15,0.04686423,0.0,0.01373357,0.01970634,0.0,0.01914477,0.02694136
2014-14,0.01216216,-0.00838826,-0.01034954,-0.02053232,-0.06460808,-0.0130248,-0.0273097
2014-13,-0.01273262,0.00714073,0.00136426,-0.00856611,-0.02024668,-0.0019207,-0.01580433
2014-12,0.0372737,-0.00332126,0.00651144,0.00263455,-0.0250591,0.0045827,-0.01718927
2014-11,0.00177809,0.00545124,0.00138751,0.01910585,0.04135894,0.02130985,0.01568702
2014-10,-0.04671584,-0.0078125,-0.01790634,-0.0046332,0.0,-0.00543556,-0.01074863
2014-09,0.01028369,0.01177536,0.01671642,0.01168224,0.04013292,0.01242415,0.02209414
2014-08,-0.06601467,0.0097561,-0.00644405,-0.01837672,-0.04779146,-0.00731602,-0.01902985
2014-07,-0.00939109,0.0093838,0.0090999,0.00538255,0.05473523,0.0061693,0.00412681
2014-06,0.01396055,0.01718104,0.01429147,0.02963256,0.04108137,0.02263765,0.02539252
