Month,ADRE,BBRC,BICK,BKF,DBEM,DEM,DGS,DVYE,EDC,EDIV,EDZ,EEB,EELV,EEM,EEMO,EEMS,EET,EEV,EMIF,EUM,EWEM,EWX,FEM,FEMS,HILO,IEMG,PIE,PXH,SCHE,SPEM,TLTE,VWO
2016-11,-0.04185351,-0.05970149,-0.03247632,-0.02726146,-0.01757188,-0.0177274,-0.03768577,-0.03287414,-0.11717842,-0.05003909,0.08003306,-0.02093683,-0.04031857,-0.03632723,-0.09924812,-0.03444833,-0.07068016,0.05806703,-0.04085946,0.03091061,-0.06069364,-0.03902316,-0.02577059,-0.06281157,-0.06335204,-0.03313468,-0.05750165,-0.02353617,-0.03655108,-0.03708839,-0.02564674,-0.03337104
2016-10,0.00922894,-0.0048951,0.0040395,-0.01097226,-0.01149425,0.0040568,-0.02112858,-0.00185586,-0.05137249,0.00153905,0.0348469,0.01349911,-0.01507049,-0.01509223,0.0,-0.01909596,-0.03539525,0.02420554,-0.02204137,0.01279863,-0.00072202,-0.01165386,-0.00301205,-0.01686669,-0.00393701,-0.01604651,-0.01863753,0.03527337,-0.00416667,-0.00341763,-0.00681169,-0.00363636
2016-09,0.02703533,0.0155587,0.01791456,0.02131661,0.01112288,0.01538462,0.01765016,0.0223001,0.03864264,0.01097179,-0.0818333,0.03307321,0.00145843,0.0174635,0.01604278,0.02449283,0.03430683,-0.05217171,-0.01377225,-0.02400662,0.00436681,0.01858452,0.00766871,0.02240053,0.01291364,0.01907032,-0.00449871,0.02063107,0.0156324,0.01504022,0.02225219,0.01486139
2016-08,0.03251514,-0.00490884,0.03492823,0.04688016,0.01725067,0.00238166,0.00132521,-0.00446002,0.02968777,-0.02495202,-0.0416686,0.05178501,-0.00145138,0.01079032,0.00306513,0.01076615,0.01488744,-0.02780814,0.02116763,-0.01297648,-0.00072993,0.01954143,0.03232644,0.00978078,-0.0039968,0.01215953,0.0117724,0.02567314,0.01205982,0.02009329,0.01348263,0.01162453
2016-07,0.04616929,0.01786991,0.03928394,0.04027304,0.02656336,0.05762606,0.06213101,0.06589674,0.13002681,0.06176351,-0.13300346,0.03264813,0.02477701,0.04374241,0.02032838,0.03242409,0.08802678,-0.08883953,0.02933985,-0.04423749,0.03108415,0.04599891,0.05712701,0.07009346,0.0425,0.04302708,0.03908356,0.05751634,0.04363089,0.03949329,0.04359219,0.04381989
2016-06,0.03474635,0.00878477,0.05098247,0.04641958,0.01702611,0.06024096,0.06650544,0.08066298,0.11551951,0.07648352,-0.16953938,0.03456998,0.04093264,0.04621309,0.02566159,0.02365763,0.07525011,-0.11290635,0.05440415,-0.0545653,0.03440095,0.03900911,0.06436234,0.05335893,0.06571936,0.0433626,0.02565881,0.08411215,0.04986737,0.04026583,0.0472006,0.05019182
2016-05,-0.02168756,-0.04494382,-0.02874743,-0.01929148,-0.00283447,-0.06124372,-0.04639769,-0.06370523,-0.10806075,-0.06128364,0.09225506,-0.0364225,-0.04102818,-0.03437597,-0.03025601,-0.02704811,-0.07526665,0.06134843,-0.02805398,0.03155522,-0.04305136,-0.03551762,-0.05898876,-0.03302412,-0.04003407,-0.0319423,0.00069541,-0.07661559,-0.03083248,-0.02812619,-0.03606875,-0.02974899
2016-04,0.01563031,0.01066856,0.04673394,0.02424242,-0.00056433,0.03463904,0.01786237,0.03082312,0.0107359,0.00959133,-0.04050484,0.03946822,-0.002457,0.00715397,0.03867849,0.00816004,0.01563134,-0.02563326,0.00733676,-0.01006336,0.01855431,0.00332134,0.00788732,-0.00370096,0.01373391,0.00855365,-0.01037344,0.04495159,0.00826446,0.00917782,0.009355,0.00716065
2016-03,0.09630459,0.07115532,0.1295858,0.0970266,0.04893868,0.08802817,0.07048458,0.07191265,0.28635458,0.10623557,-0.2450142,0.10967145,0.08489055,0.09100135,0.17630332,0.06994382,0.18951132,-0.16956009,0.09721662,-0.08821526,0.08106979,0.06333235,0.08973571,0.07197427,0.08667288,0.08658982,0.05240175,0.11810412,0.08972912,0.08548791,0.09135135,0.08760611
2016-02,0.0109375,0.00796813,-0.00661853,-0.00644901,0.01348039,0.0354049,0.03531786,0.0271674,-0.01302578,0.01601942,-0.03486609,0.00481928,0.02186099,0.00140302,0.03532875,-0.00628033,-0.00787002,-0.01986501,0.01600674,-0.00717547,0.02912621,0.0145017,0.0129199,0.01086048,0.02644466,-0.00116347,0.00149254,0.02566225,0.00588235,0.00431779,0.00870787,0.00708717
