Month,AADR,COPX,ECON,EDC,EEM,EEMS,FAN,FLN,FM,FONE,FPA,GDXJ,HILO,ICLN,IEMG,KOL,LIT,PBD,PICK,SIL,SLVP,SLX,SOCL,SOIL,TLTE
2014-01,-0.02799335,-0.05042669,-0.07097033,-0.15401453,-0.049765,-0.03695599,0.00941423,-0.07665331,0.00296956,-0.00032031,-0.04422194,0.08212878,-0.06451613,-0.02253219,-0.04665885,-0.07860262,-0.03504274,0.01507092,-0.05377302,0.03622095,0.05703048,-0.07410143,0.00143609,-0.028,-0.05495713
2013-12,0.00722222,0.08010013,0.02714571,0.04211107,0.01730665,0.02169145,0.03104925,0.01280788,0.02664636,0.0206852,0.01275195,0.02591409,0.01226158,0.01884701,0.01773376,0.00185414,0.02636128,0.01730419,0.04595588,0.03466148,0.01239669,0.06562017,0.09501312,0.00395257,0.01760104
2013-11,0.01666667,-0.06958175,-0.01583012,-0.01666667,-0.00290314,0.00918984,-0.00632911,-0.03419204,0.0154321,0.02975207,-0.00596896,-0.10714286,-0.02937337,-0.00437158,-0.00472335,-0.00673195,-0.01825127,0.00634058,-0.02343518,-0.0680791,-0.06433824,-0.00808693,-0.0026137,-0.00587084,-0.0087532
2013-10,0.04036268,0.02727622,-0.00115473,0.0580113,0.02130529,0.04268443,0.04510451,0.02859822,0.02378121,0.00130081,0.01617469,-0.04764498,0.01716172,0.0212766,0.02204869,0.04501608,-0.0355247,0.03255814,0.03722917,-0.0008199,0.01432408,0.060087,-0.03388973,0.00981354,0.02670169
2013-09,0.05884175,0.02461899,0.09635974,0.1931831,0.06533841,0.04846738,0.08722359,0.08209338,0.03712871,0.06029976,0.07086614,-0.16217411,0.05077574,0.12071156,0.06316837,0.0,0.1438646,0.0977131,0.06740117,-0.14793709,-0.12394797,0.05226881,0.10238908,0.0798722,0.06042011
2013-08,-0.03232628,0.02513391,-0.07417691,-0.13125751,-0.0429015,-0.04128673,-0.026538,-0.06037152,-0.03247525,-0.00462304,-0.01578947,0.21260481,-0.07526178,-0.06577345,-0.04019254,0.03481229,-0.03345725,-0.03064351,-0.00168124,0.17573788,0.14746946,0.01160024,0.01826753,-0.0392562,0.00274537
2013-07,0.02759486,-0.01284176,0.0,0.01432849,0.01015965,0.00333676,0.1396648,-0.00259605,0.07533362,0.03068392,0.05091079,0.08527802,0.00396301,0.06357616,0.00987654,0.01318529,0.0043021,0.06915477,0.06993511,0.10238305,0.08703704,0.06056742,0.11449864,-0.10009443,0.01357996
2013-06,-0.02787136,-0.16684229,-0.02891089,-0.20848329,-0.06710133,-0.1010788,-0.01112656,-0.07292173,-0.09013209,-0.00336952,-0.08301241,-0.27068634,-0.02774194,-0.02080624,-0.06878307,-0.14132379,-0.09078889,-0.04259851,-0.11675291,-0.20598086,-0.1828125,-0.07322176,0.0289548,-0.06974717,-0.07767412
2013-05,0.00771605,-0.01611208,-0.02106084,-0.11325836,-0.03793103,-0.00521451,0.07898659,-0.06472197,0.05258799,0.05390625,-0.05375462,-0.03053931,-0.06335923,0.05655172,-0.03381425,-0.04243119,0.01599289,0.13614458,-0.00421804,-0.03171197,-0.05155421,-0.02948983,0.01045296,-0.00086806,-0.01859769
2013-04,0.03119032,-0.05539264,0.03300199,0.06880471,0.02308725,0.01915799,0.05799373,0.0,0.03205128,0.06872428,0.01239669,-0.21776176,0.03178484,0.15470494,0.02352135,-0.03058438,-0.05175224,0.07672634,-0.02207025,-0.15712304,-0.19435929,-0.0131316,0.09145427,-0.02432886,0.01635112
2013-03,-0.01904465,-0.02788104,-0.00276352,-0.04694906,-0.01232625,0.00188413,0.02056962,-0.00978648,0.00905563,0.02377972,-0.01418727,0.07243634,0.00799017,0.00966184,-0.01251117,-0.01787592,-0.05148741,0.00253485,-0.04902814,-0.00387597,0.00792683,-0.02843861,-0.01736614,-0.02840909,-0.01761376
2013-02,-0.02260762,-0.10517666,-0.03016241,-0.09043214,-0.02934422,-0.01068525,0.0047619,-0.01094092,-0.01447424,-0.01464605,0.00203666,-0.17346796,-0.04246411,-0.00160772,-0.02233414,-0.06504854,-0.02222222,0.01799486,-0.07426004,-0.12278057,-0.11252654,-0.08026673,-0.0065407,-0.04111715,-0.02158717
2013-01,0.04710145,-0.03514891,-0.00078156,-0.06800892,-0.022105,0.00308862,0.05743243,0.02490942,0.04672058,0.01551363,0.00246711,-0.07989017,-0.01137044,-0.01111111,-0.02220785,-0.02337786,-0.003342,0.0391363,-0.02858628,-0.11845274,-0.09682152,-0.03276699,0.06013878,0.02478018,-0.00883501
