Month,BBH,BIB,BIS,CURE,FBT,FXH,IBB,IHE,IHF,IHI,IXJ,IYH,PBE,PJP,PPH,PSCH,PTH,RXD,RXL,RYH,VHT,XBI,XHE,XHS,XLV,XPH
2016-05,0.02966182,0.05777575,-0.08044205,0.04543913,0.03489758,0.00741252,0.03252757,0.03261345,-0.00859859,0.01328748,0.0077944,0.01751489,0.0225831,0.03511651,0.00888486,0.00936464,0.01253918,-0.05091357,0.03160825,0.01190314,0.01749939,0.05544373,0.00823045,-0.01009222,0.01642281,0.02992278
2016-04,0.00038161,-0.00879019,-0.02474277,0.04126301,0.01568235,0.0228764,-0.00134983,0.01436653,0.02686161,0.03873815,0.02501631,0.01605925,0.00154361,0.01406328,0.01399889,0.03351706,0.00728266,-0.04208456,0.02873268,0.01332316,0.01690094,0.01438849,0.03482824,0.03575944,0.01819294,0.0328849
2016-03,-0.00833656,-0.04194985,0.00488145,0.01167169,0.00091449,0.02860306,-0.0162796,-0.00914132,0.03742555,0.04505049,0.00417674,0.00763702,0.00291082,-0.00846597,-0.01592823,0.0552988,0.03365958,-0.0384757,0.01553571,0.01382653,0.0100197,0.03010235,0.0580402,0.04786423,0.00559701,-0.02519763
2016-02,-0.01900049,-0.11171416,0.08510638,-0.02381882,-0.02935352,-0.01760237,-0.05375619,-0.0386307,-0.00699426,0.0023552,-0.01808159,-0.00563595,-0.04799165,-0.03609626,-0.05176678,-0.04221636,-0.06920968,0.00251527,-0.01660584,-0.01303445,-0.00798472,-0.05991695,-0.0062751,-0.01048018,-0.00521327,-0.058768
2016-01,-0.17793623,-0.34523095,0.44426121,-0.18164313,-0.2193613,-0.0984517,-0.18301922,-0.10204484,-0.06357403,-0.03629272,-0.05519548,-0.06846001,-0.21518206,-0.10145799,-0.06103052,-0.08182341,-0.17489634,0.13650091,-0.14042891,-0.06442917,-0.07487923,-0.25479126,-0.08789659,-0.07070347,-0.06022305,-0.14180929
2015-12,0.01779475,0.00732704,-0.03521842,-0.00690898,0.00195035,-0.0080407,0.00655885,-0.0119901,-0.01294928,-0.00255459,-0.00348075,-0.00320067,-0.00675139,-0.05828729,-0.00634766,-0.0138622,-0.03077735,-0.0179092,-0.00847201,0.00504849,-0.00275504,-0.02436634,-0.00765077,-0.02834215,0.00043821,-0.00751731
2015-11,-0.02437664,-0.02688098,0.01015916,-0.07513104,0.02443026,-0.01282684,-0.01089967,0.01436725,-0.02292359,0.00898933,-0.02314721,-0.02232822,-0.01414538,0.01220897,-0.01678892,0.0490566,-0.00787402,0.03206075,-0.04667063,-0.01324459,-0.01517892,0.01835254,0.03138173,0.00121697,-0.02406146,0.06164384
2015-10,0.07198803,0.12466443,-0.14514836,0.19836856,0.02646856,0.02192907,0.0672477,0.04158194,0.00457085,0.06288106,0.0516381,0.06205448,0.08199604,0.05073574,0.02561493,0.03488913,0.00899083,-0.13676111,0.12497815,0.05978417,0.06026253,0.06729214,0.04404404,0.01491733,0.06646669,0.03052559
2015-09,-0.06755637,-0.19159267,0.16044889,-0.11077132,-0.07377274,-0.06189555,-0.0900607,-0.09122513,-0.03843654,-0.02929131,-0.03071383,-0.0397905,-0.12197502,-0.09318342,-0.05100715,-0.05367273,-0.07756421,0.06424376,-0.08432556,-0.04667219,-0.04054388,-0.13293009,-0.05531915,-0.0577375,-0.03165534,-0.17063797
2015-08,-0.09916455,-0.21085963,0.20689655,-0.23487204,-0.10730159,-0.08073553,-0.10504268,-0.07888631,-0.05457404,-0.05518926,-0.07559025,-0.07851321,-0.09218022,-0.08114589,-0.08390187,-0.03384953,-0.07215229,0.14342366,-0.15809918,-0.07202544,-0.0799262,-0.12827225,-0.03637977,-0.05520334,-0.07920244,-0.11177945
2015-07,0.03371124,0.06216931,-0.08039492,0.04834669,0.02315602,0.0073774,0.03413081,0.03281726,-0.02721583,0.05023374,0.03227711,0.0192627,0.0249254,0.04122358,0.0387866,0.03346927,0.02664775,-0.04962312,0.03754358,0.01614128,0.02208654,0.02493614,0.05021884,-0.00569844,0.01875088,0.04628502
2015-06,0.00393462,0.0219333,-0.03487978,-0.02309237,0.01043025,0.00218341,0.01150948,-0.01229289,0.03018412,-0.00272596,-0.01578025,-0.00340522,0.01976144,0.00475373,-0.03212435,0.02267834,0.00905481,-0.00354684,-0.00380435,-0.00622183,-0.00159079,0.0570376,0.00809061,0.02625716,-0.00749223,0.00403297
2015-05,0.04742708,0.12517456,-0.12067938,0.09254641,0.07234671,0.04560708,0.06111697,0.03789188,0.07239562,0.01416406,0.01931117,0.03492239,0.06427363,0.0244532,0.02043597,0.04048583,0.06780521,-0.07363742,0.07865497,0.03520243,0.03848884,0.11723647,0.02844168,0.05672446,0.03117225,0.03448902
2015-04,-0.02342385,-0.04244919,0.02384372,-0.00770768,-0.04809499,-0.02307344,-0.01883105,-0.01719675,-0.02572449,-0.01612069,0.00505766,-0.00545455,-0.04580574,-0.01837985,0.02012795,-0.03678295,-0.04391052,-0.0022633,-0.00298686,-0.00398777,-0.00745854,-0.06560308,-0.0349586,-0.01918624,-0.00088915,-0.04476816
2015-03,0.00504453,0.01551282,-0.03820225,-0.00600765,0.0199413,0.02775648,0.01084734,0.01734104,0.04097353,0.00204778,0.00484946,0.00242365,0.00521027,-0.00403334,0.0086072,0.02850746,0.02192243,-0.03708634,0.0075275,0.01473825,0.00583228,0.03787561,0.01941748,0.02737196,-0.00263389,-0.00857693
2015-02,0.04419569,0.11148062,-0.11100172,0.11055901,0.05586131,0.05337904,0.05605445,0.08769419,0.06816782,0.04040857,0.04016913,0.03894691,0.03969022,0.07867312,0.05342625,0.09156905,0.06602401,-0.09807921,0.0776653,0.05053004,0.04207039,0.09220297,0.06782609,0.08170353,0.03705405,0.11191975
2015-01,0.05637982,0.09529025,-0.10657748,0.01960154,0.07248925,0.01173942,0.04999507,0.01756457,0.0036354,0.00480682,0.02106406,0.01305502,0.0514691,0.05295757,0.0167882,0.02436961,0.03092593,-0.04844637,0.02063544,0.00650139,0.01459423,0.05969668,0.02989199,-0.00655738,0.00932546,0.03244778
